type,id,sha256,file_name,file_type,domain,ip,gti_score,positives,tags
domain,athoughtprocess.com,,,,,,100,2,
domain,b.pdf-fast.com,,,,,,100,5,
domain,d.pdf-fast.com,,,,,,100,2,
domain,everviaf.com,,,,,,100,2,
domain,letscompress.com,,,,,,75,12,
domain,letscompress.online,,,,,,75,10,
domain,pdf-fast.com,,,,,,100,3,
domain,pdf-fast.online,,,,,,100,1,[self-signed]
domain,pdf-maker.online,,,,,,100,1,
domain,pdf-win.com,,,,,,100,1,
domain,pdf-win.online,,,,,,100,1,
domain,pdfflip.net,,,,,,100,1,
domain,pdfflip.online,,,,,,100,1,
domain,pdfpdffast.com,,,,,,100,1,
domain,pdfpdffast.online,,,,,,100,1,
domain,r.pdf-fast.com,,,,,,100,3,
domain,runpdfflip.com,,,,,,100,1,[dga]
domain,searchinglibrary.com,,,,,,100,3,
domain,searchshines.com,,,,,,100,1,
domain,searchsnfinds.com,,,,,,100,5,
domain,varendot.com,,,,,,100,5,
domain,webfreepdf.com,,,,,,100,1,
domain,www.athoughtprocess.com,,,,,,100,1,
domain,zip-it-now.com,,,,,,100,12,
domain,zip-it-now.online,,,,,,100,1,
url,https://varendot.com/lenCatch.txt,,,,varendot.com,,100,5,[external-resources]
url,https://pdf-fast.com/downloads/PDFast.exe,,,,pdf-fast.com,,100,2,[external-resources]
url,https://varendot.com/pdf.bin,,,,varendot.com,,100,5,
ip_address,66.198.240.48,,,,,,20,,
file,053b80bd6a6b47fd74af194b731a2f8d30284981ab5a8e25a3ca839ab2804afd,053b80bd6a6b47fd74af194b731a2f8d30284981ab5a8e25a3ca839ab2804afd,[c:\users\user\appdata\roaming\pdfast\pdfast 1.0.0\install\ca604da\pdfast.msi c:\windows\installer\50a478.msi c:\users\<user>\appdata\roaming\pdfast\pdfast 1.0.0\install\ca604da\pdfast.msi pdfast.msi],[installer msi windows],,,1,,[revoked-cert msi calls-wmi long-sleeps detect-debug-environment checks-usb-bus signed]
file,103c8764f8af476e8801c03a03969f388133b8586de93b13fcba52bf1772c8e5,103c8764f8af476e8801c03a03969f388133b8586de93b13fcba52bf1772c8e5,[pdfast.exe pdfast-1.0.2.exe pdfast],[peexe pe executable win32 windows],,,30,7,[checks-usb-bus revoked-cert peexe calls-wmi checks-user-input signed long-sleeps overlay detect-debug-environment]
file,145081d74646f796d1a96c0ffcd89d71497d9d7db99a94fc30c7bc6cb1f2bd91,145081d74646f796d1a96c0ffcd89d71497d9d7db99a94fc30c7bc6cb1f2bd91,[pdfast.exe 686926b4710ba09d1453e7fb968c416c68063872.exe pdfast],[windows executable peexe win32 pe],,,30,28,[calls-wmi overlay signed checks-usb-bus peexe revoked-cert checks-user-input detect-debug-environment long-sleeps]
